target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_full_event_n,bootstrap_early_candidate_n,nominal_fraction,budget_lock,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,canonical_fixed_budget_C01_C11_crosscheck,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,5,3480382,302379,2601746,0.05,fixed_observed_point_absolute_counts,130053,174019,0.08944073497167462,0.09997387384705948,0.10973314945813036,0.12328567790752665,27045,30230,33181,37279,PASS,0.01053313887538486,0.02029241448645573,0.003019389574011433,0.02029241448645573,0.013552528449396292,0.01053313887538486,0.023311804060467164,0.012042833662390576,0.021802109273461448,0.033844942935852024,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,5,3480382,302379,2601746,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14492077822864682,0.16408877600627028,0.17770744661500965,0.20164429408126888,43821,49617,53735,60973,PASS,0.019167997777623458,0.03278666838636282,0.004768849688635779,0.03278666838636282,0.023936847466259237,0.019167997777623458,0.0375555180749986,0.021552422621941347,0.03517109323068071,0.05672351585262206,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,6,3480382,304148,2600144,0.05,fixed_observed_point_absolute_counts,130053,174019,0.0901633415310967,0.10000723332062023,0.1106171995212857,0.1240744637479122,27423,30417,33644,37737,PASS,0.009843891789523523,0.020453857990188992,0.0036133724371029824,0.020453857990188992,0.013457264226626506,0.009843891789523523,0.024067230427291975,0.011650578008075015,0.022260544208740483,0.0339111222168155,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,6,3480382,304148,2600144,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14608019779844023,0.1651597248707866,0.17865644357352342,0.20293738574641293,44430,50233,54338,61723,PASS,0.019079527072346364,0.032576245775083196,0.005201415100543144,0.032576245775083196,0.024280942172889508,0.019079527072346364,0.03777766087562634,0.021680234622617936,0.03517695332535477,0.056857187947972704,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,7,3480382,302178,2600226,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09109531468207481,0.10131445704187599,0.11124238031888489,0.12510176121358935,27527,30615,33615,37803,PASS,0.010219142359801175,0.020147065636810083,0.0036402385349032784,0.020147065636810083,0.013859380894704454,0.010219142359801175,0.02378730417171336,0.012039261627252815,0.021967184904261722,0.034006446531514536,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,7,3480382,302178,2600226,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14640046595053247,0.16586250488122894,0.17886477506635162,0.20340660140711767,44239,50120,54049,61465,PASS,0.01946203893069648,0.03246430911581916,0.005079787410069564,0.03246430911581916,0.024541826340766043,0.01946203893069648,0.03754409652588872,0.02200193263573126,0.03500420282085394,0.0570061354565852,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,8,3480382,303790,2601535,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09130649461799269,0.10097106553869449,0.1119161262714375,0.12482306856710228,27738,30674,33999,37920,PASS,0.009664570920701804,0.020609631653444815,0.0032423713749629712,0.020609631653444815,0.012906942295664775,0.009664570920701804,0.023852003028407787,0.01128575660818329,0.0222308173409263,0.03351657394910959,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,8,3480382,303790,2601535,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14701603081075743,0.16606866585470226,0.17961749893018203,0.20383159419335725,44662,50450,54566,61922,PASS,0.019052635043944832,0.032601468119424604,0.0051614602192303904,0.032601468119424604,0.024214095263175223,0.019052635043944832,0.037762928338654994,0.021633365153560027,0.0351821982290398,0.056815563382599826,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,9,3480382,302568,2600516,0.05,fixed_observed_point_absolute_counts,130053,174019,0.08971206472594591,0.09929338198355411,0.11018680098358055,0.12266664022632928,27144,30043,33339,37115,PASS,0.009581317257608205,0.020474736257634643,0.002898521985140526,0.020474736257634643,0.01247983924274873,0.009581317257608205,0.02337325824277517,0.011030578250178467,0.021923997250204906,0.03295457550038337,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,9,3480382,302568,2600516,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14535575473943046,0.1639895825070728,0.1787465958065625,0.2018719758864123,43980,49618,54083,61080,PASS,0.01863382776764233,0.03339084106713203,0.004491552312207492,0.03339084106713203,0.023125380079849822,0.01863382776764233,0.03788239337933952,0.020879603923746076,0.03563661722323577,0.05651622114698185,0.0,0.0,0.0,0.0
