target,feature_set,model,evaluation,probability_type,bin,bin_n,event_n,mean_predicted_probability,observed_event_rate,absolute_gap,minimum_probability,maximum_probability,population,scenario
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,3,17745,930,0.049965255280712086,0.052409129332206254,0.0024438740514941687,0.04792933331753569,0.05193673704912482,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,4,17746,932,0.05379157404079823,0.05251887749351967,0.0012726965472785595,0.05193673704912482,0.05556172404209537,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,5,17745,1018,0.05726185644712736,0.05736827275288814,0.00010641630576077588,0.05556177972382763,0.05894559623930119,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,6,17745,1105,0.060685769940348765,0.06227106227106227,0.0015852923307135072,0.0589456151147328,0.062365202191471784,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,7,17746,1112,0.06407055774285424,0.06266200833990758,0.0014085494029466572,0.062365394258384964,0.06575948241385032,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,8,17745,1168,0.067500267776541,0.06582135812905043,0.0016789096474905674,0.0657595423734344,0.06927263399355477,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,9,17745,1255,0.07102525629783359,0.07072414764722457,0.00030110865060901937,0.06927263399355477,0.07268499666840346,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,10,17746,1305,0.07438685670226967,0.0735376986363124,0.0008491580659572701,0.07268510314052548,0.07612564752343999,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,11,17745,1426,0.07791887393485922,0.08036066497604959,0.0024417910411903693,0.07612609491042885,0.07971336339127157,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,12,17745,1404,0.08153839641898522,0.07912087912087912,0.0024175172981061033,0.07971339222640178,0.0834354756108268,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,13,17745,1502,0.08549186471395051,0.08464356156663849,0.0008483031473120184,0.08343571011153886,0.08761358106199271,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,14,17746,1670,0.08987952547260046,0.09410571396371013,0.0042261884911096725,0.08761371584240805,0.0922737642106158,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,15,17745,1628,0.09485943648107674,0.09174415328261482,0.003115283198461924,0.09227393036052753,0.0976363820200523,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,16,17745,1752,0.10080761653989967,0.09873203719357565,0.002075579346324019,0.09763648200879764,0.10424301370292269,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,17,17746,1990,0.10830953939971934,0.11213794657951087,0.0038284071797915348,0.10424333695882937,0.112879686070235,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,18,17745,2187,0.11885115973160183,0.12324598478444632,0.004394825052844484,0.11288001919618985,0.12595193779138578,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,19,17745,2485,0.136923530209201,0.14003944773175542,0.0031159175225544122,0.12595303737948976,0.1520641593348399,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,raw,20,17746,3671,0.20676405756650573,0.20686351853938917,9.946097288343614e-05,0.15206566198854457,0.5832343524989516,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,1,17745,713,0.03876881275464951,0.04018033248802479,0.001411519733375284,0.02401241081533046,0.04194047847868799,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,2,17745,789,0.04448686180397326,0.04446322907861369,2.3632725359566675e-05,0.04194071588499257,0.04683414542475635,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,3,17745,930,0.048896850841288024,0.052409129332206254,0.0035122784909182303,0.04683414542475635,0.050896171702108986,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,4,17746,932,0.05278043929082754,0.05251887749351967,0.00026156179730787293,0.050896171702108986,0.05458007303122042,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,5,17745,1018,0.05631104866100674,0.05736827275288814,0.0010572240918814008,0.05458012968372965,0.05802650809354435,singleton_primary,full_cohort
target_nicu,booking_strict,lightgbm,calibration_evaluation_2022,calibrated,6,17745,1105,0.059801829488716006,0.06227106227106227,0.002469232782346266,0.05802652733742914,0.06151628283570453,singleton_primary,full_cohort
