year,target,nominal_fraction,replicate,full_event_n,B_early,B_all,C00_tp,C01_tp,C10_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
2024,target_preterm,0.05,7,307341,130149,175639,27524,34003,30608,38215,0.010034456841098327,0.021080819025121933,0.0036701904399347868,0.021080819025121933,0.013704647281033114,0.010034456841098327,0.02475100946505672,0.01186955206106572,0.022915914245089326,0.03478546630615505,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,7,307341,260299,351278,44439,54873,50691,62422,0.020342225736234343,0.033949261569396844,0.0042200682629392194,0.033949261569396844,0.024562293999173562,0.020342225736234343,0.03816932983233606,0.022452259867703953,0.03605929570086645,0.058511555568570406,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,8,307914,130149,175639,27805,34441,30839,38471,0.009853400624849795,0.021551472164305613,0.003234669420682401,0.021551472164305613,0.013088070045532196,0.009853400624849795,0.024786141584988014,0.011470735335190996,0.023168806874646813,0.03463954220983781,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,8,307914,260299,351278,45035,55309,51048,62890,0.019528179946348645,0.03336645946595476,0.005092330975532133,0.03336645946595476,0.02462051092188078,0.019528179946348645,0.038458790441486895,0.02207434543411471,0.03591262495372083,0.05798697038783554,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,9,307257,130149,175639,27721,34254,30598,38138,0.009363497007391211,0.021262330882616184,0.0032773866828094966,0.021262330882616184,0.012640883690200708,0.009363497007391211,0.02453971756542568,0.01100219034879596,0.022901024224020933,0.03390321457281689,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,9,307257,260299,351278,44578,55036,50757,62405,0.020110200906732795,0.034036653355334456,0.003872979297461082,0.034036653355334456,0.023983180204193877,0.020110200906732795,0.03790963265279554,0.022046690555463336,0.035973143004065,0.05801983355952833,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,10,308046,130149,175639,27859,34301,30617,38390,0.008953208287074008,0.020912461125935727,0.004320783259643038,0.020912461125935727,0.013273991546717046,0.008953208287074008,0.025233244385578765,0.011113599916895527,0.023072852755757246,0.03418645267265277,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,10,308046,260299,351278,44862,55170,50824,62794,0.01935425228699611,0.03346253481622874,0.0053952981048285,0.03346253481622874,0.02474955039182461,0.01935425228699611,0.03885783292105724,0.02205190133941036,0.03616018386864299,0.05821208520805335,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,11,307628,130149,175639,27571,33967,30654,38309,0.010021844565514193,0.020791345391186766,0.004092605354519094,0.020791345391186766,0.014114449920033287,0.010021844565514193,0.02488395074570586,0.01206814724277374,0.022837648068446313,0.03490579531122005,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,11,307628,260299,351278,44459,54813,50713,62457,0.02032974891752376,0.03365753442469477,0.004518444354870171,0.03365753442469477,0.02484819327239393,0.02032974891752376,0.03817597877956494,0.022588971094958846,0.035916756602129854,0.0585057276970887,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,12,308451,130149,175639,27834,34159,30812,38488,0.009654693938421346,0.020505688099568486,0.0043799501379473554,0.020505688099568486,0.014034644076368702,0.009654693938421346,0.024885638237515842,0.011844669007395024,0.022695663168542164,0.03454033217593719,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,12,308451,260299,351278,44800,55265,50931,62867,0.019876738930980936,0.03392759303746787,0.004768990860785027,0.03392759303746787,0.024645729791765963,0.019876738930980936,0.038696583898252895,0.02226123436137345,0.03631208846786038,0.05857332282923383,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,13,308176,130149,175639,27563,33975,30553,38110,0.009702248066040184,0.020806292508177143,0.003715409376460199,0.020806292508177143,0.013417657442500383,0.009702248066040184,0.024521701884637342,0.011559952754270283,0.022663997196407243,0.034223949950677526,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,13,308176,260299,351278,44553,54992,50550,62516,0.019459659415398983,0.03387350085665333,0.004954960801619862,0.03387350085665333,0.024414620217018845,0.019459659415398983,0.038828461658273195,0.021937139816208914,0.036350981257463263,0.05828812107367218,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,14,307844,130149,175639,27962,34602,30935,38469,0.009657488857993016,0.021569366302412907,0.0029040682943308888,0.021569366302412907,0.012561557152323904,0.009657488857993016,0.024473434596743796,0.01110952300515846,0.02302140044957835,0.03413092345473681,0.0,0.0,0.0,0.0
