target,feature_set,model,evaluation,bootstrap_method,replicates,confidence_level,nominal_fraction,metric,point_estimate,point_estimate_pp,bootstrap_mean,bootstrap_mean_pp,bootstrap_se,bootstrap_se_pp,ci_lower,ci_upper,ci_lower_pp,ci_upper_pp
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C01_early_Ball,0.10483538585818619,10.48353858581862,0.10481554534460935,10.481554534460935,0.0005056375090294354,0.050563750902943544,0.10388428258356312,0.10579407761068267,10.388428258356312,10.579407761068268
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C11_all_Ball,0.1182188370674448,11.821883706744481,0.1182206558365875,11.82206558365875,0.0005488126632915435,0.054881266329154355,0.11713202019579756,0.11922793330591713,11.713202019579755,11.922793330591713
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,availability_main_at_early_budget,0.010439025998648141,1.0439025998648142,0.010453333994320165,1.0453333994320164,0.00034777405266171475,0.03477740526617147,0.009741318191168956,0.011132026350675754,0.9741318191168956,1.1132026350675754
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,capacity_main_in_early_cohort,0.019763588703694546,1.9763588703694546,0.01975868345377875,1.975868345377875,0.00022802286788899025,0.022802286788899024,0.01936087127802397,0.020228279265992397,1.936087127802397,2.0228279265992395
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,interaction,0.002944425210610474,0.2944425210610474,0.0029517764976579974,0.29517764976579974,0.0003416974412859167,0.03416974412859167,0.0022637357809991,0.003604496000007541,0.22637357809991,0.3604496000007541
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,ordered_capacity_within_early_cohort,0.019763588703694546,1.9763588703694546,0.01975868345377875,1.975868345377875,0.00022802286788899025,0.022802286788899024,0.01936087127802397,0.020228279265992397,1.936087127802397,2.0228279265992395
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,ordered_availability_at_all_budget,0.013383451209258615,1.3383451209258614,0.013405110491978164,1.3405110491978165,0.00039113751558711657,0.039113751558711655,0.01261904820077528,0.014120757208158146,1.261904820077528,1.4120757208158146
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,availability_at_early_budget,0.010439025998648141,1.0439025998648142,0.010453333994320165,1.0453333994320164,0.00034777405266171475,0.03477740526617147,0.009741318191168956,0.011132026350675754,0.9741318191168956,1.1132026350675754
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,capacity_in_all_cohort,0.02270801391430502,2.270801391430502,0.022710459951436748,2.2710459951436746,0.00024873864018909057,0.024873864018909057,0.02226480793832545,0.023193830758285527,2.226480793832545,2.3193830758285525
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,shapley_availability,0.011911238603953378,1.1911238603953378,0.011929222243149162,1.1929222243149162,0.0003282961902868686,0.03282961902868686,0.011314755788224776,0.012513256810853298,1.1314755788224777,1.2513256810853297
